"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",212756,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",202218,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",414974,,
"ITC","Nord-ovest","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",56077,,
"ITC","Nord-ovest","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",53735,,
"ITC","Nord-ovest","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",109812,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",14145,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",13640,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",27785,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",418,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",417,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",835,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",4421,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",4211,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",8632,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",37093,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",35467,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",72560,,
"ITD","Nord-est","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",41617,,
"ITD","Nord-est","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",39490,,
"ITD","Nord-est","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",81107,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",4909,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",4559,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",9468,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",2702,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",2523,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",5225,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",2207,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",2036,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",4243,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",17170,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",16105,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",33275,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",3820,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",3630,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",7450,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",15718,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",15196,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",30914,,
"ITE","Centro","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",39249,,
"ITE","Centro","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",37203,,
"ITE","Centro","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",76452,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",11780,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",11440,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",23220,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",2766,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",2722,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",5488,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",5006,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",4576,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",9582,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",19697,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",18465,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",38162,,
"ITF","Sud","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",51901,,
"ITF","Sud","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",49302,,
"ITF","Sud","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",101203,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",4264,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",4108,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",8372,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",983,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",905,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",1888,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",23548,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",22462,,
